PLAYER_ID,PLAYER_NAME,PRIMARY_POS,HEIGHT_CM,WEIGHT_KG,G,A,GP,PPG,PIM,LEAGUE_YEAR
90894,John Wensink,LW,183,84,2,7,42,0.214285714285714,135,1982-1983
91186,Mikko Rantanen,RW,179,79,31,56,74,1.17567567567568,54,2018-2019
91243,Vinnie Hinostroza,C,188,88,16,23,72,0.541666666666667,14,2018-2019
92117,Roope Hintz,C,179,73,9,13,58,0.379310344827586,24,2018-2019
92226,Kasperi Kapanen,RW,183,87,20,24,78,0.564102564102564,27,2018-2019
92502,Sami Niku,D,188,82,1,3,30,0.133333333333333,2,2018-2019
92677,Chris Tierney,C,180,79,9,39,81,0.592592592592593,26,2018-2019
92683,Kurtis Gabriel,RW,178,82,2,2,22,0.181818181818182,59,2018-2019
92803,Oliver Bjorkstrand,RW,176,77,23,13,77,0.467532467532468,8,2018-2019
93577,Jujhar Khaira,LW,188,84,3,15,60,0.3,43,2018-2019
94247,Luke Johnson,C,178,82,0,1,15,0.0666666666666667,8,2018-2019
94268,Dwight Foster,RW,179,84,4,12,47,0.340425531914894,37,1986-1987
94285,Denis Cyr,RW,183,87,3,4,31,0.225806451612903,2,1985-1986
94484,Conor Sheary,LW,180,84,14,20,78,0.435897435897436,12,2018-2019
95032,Sam Reinhart,C,190,83,22,43,82,0.792682926829268,16,2018-2019
95044,Mirco M・Eller,D,178,79,1,10,53,0.207547169811321,17,2018-2019
95484,Max Domi,C,178,88,28,44,82,0.878048780487805,80,2018-2019
95668,Mike Zuke,C,195,97,0,2,17,0.117647058823529,12,1985-1986
95795,Todd Bidner,C,188,93,2,1,12,0.25,7,1981-1982
95824,Jim Pavese,D,173,82,3,6,44,0.204545454545455,135,1988-1989
95853,Josh Anderson,RW,183,77,27,20,82,0.573170731707317,60,2018-2019
95921,Timo Meier,LW,180,82,30,36,78,0.846153846153846,55,2018-2019
96063,Jake Dotchin,D,175,79,0,1,20,0.05,39,2018-2019
96374,John Paddock,RW,180,91,2,1,10,0.3,4,1982-1983
96475,Brandon Tanev,LW,183,86,14,15,80,0.3625,41,2018-2019
96780,Steven Santini,D,180,83,1,3,39,0.102564102564103,16,2018-2019
97341,Connor Brown,RW,188,82,8,21,82,0.353658536585366,16,2018-2019
97352,Darnell Nurse,D,175,75,10,31,82,0.5,87,2018-2019
97396,Drake Caggiula,W,180,86,12,11,55,0.418181818181818,28,2018-2019
97590,Will Butcher,D,185,79,4,26,78,0.384615384615385,18,2018-2019
97620,Sheldon Dries,C,191,86,3,3,40,0.15,26,2018-2019
97621,Jaccob Slavin,D,180,88,8,23,82,0.378048780487805,18,2018-2019
97744,Steve Nemeth,RW,192,98,2,0,12,0.166666666666667,2,1987-1988
97787,Madison Bowey,D,178,73,2,8,50,0.2,46,2018-2019
97908,MacKenzie Weegar,D,190,79,4,11,64,0.234375,64,2018-2019
97957,Brandon Montour,D,178,93,8,27,82,0.426829268292683,56,2018-2019
98068,Zach Aston-Reese,C,185,87,8,9,43,0.395348837209302,26,2018-2019
98183,Kurtis MacDermid,D,185,88,0,1,11,0.0909090909090909,11,2018-2019
98300,Radek Faksa,C,191,87,15,15,81,0.37037037037037,54,2018-2019
98663,Tom Wilson,RW,182,67,22,18,63,0.634920634920635,128,2018-2019
98665,Anthony Duclair,LW,180,82,19,14,74,0.445945945945946,14,2018-2019
99036,Nick Ritchie,LW,178,79,9,22,60,0.516666666666667,82,2018-2019
99204,Nathan MacKinnon,C,180,86,41,58,82,1.20731707317073,34,2018-2019
100083,Joe Micheletti,D,183,88,5,17,41,0.536585365853659,32,1981-1982
100084,Pat Micheletti,C,180,91,2,0,12,0.166666666666667,8,1987-1988
101250,Jakub Vr・Ena,LW,180,84,24,23,82,0.573170731707317,27,2018-2019
101581,Shea Theodore,D,185,84,12,25,79,0.468354430379747,20,2018-2019
101962,Andrew Copp,C,178,80,11,14,69,0.36231884057971,6,2018-2019
102439,Tomas Nosek,C,180,80,8,9,68,0.25,18,2018-2019
102488,Lee Giffin,RW,180,81,0,2,19,0.105263157894737,9,1987-1988
102676,Craig Redmond,D,178,73,3,10,21,0.619047619047619,12,1988-1989
102677,Roger Belanger,C,181,87,3,5,44,0.181818181818182,32,1984-1985
102697,Milan Chalupa,D,186,95,0,5,14,0.357142857142857,6,1984-1985
102713,Mike Gillis,LW,180,90,6,11,50,0.34,35,1983-1984
102714,Behn Wilson,D,193,104,6,23,58,0.5,166,1987-1988
102717,Brent Peterson,RW,180,86,4,13,66,0.257575757575758,61,1988-1989
102718,Tim Higgins,RW,183,87,5,9,42,0.333333333333333,62,1988-1989
103143,Tim Hrynewich,LW,183,82,4,5,25,0.36,34,1983-1984
103691,William Huber,D,191,93,9,22,56,0.553571428571429,70,1987-1988
103763,Ryan Graves,D,185,82,3,2,26,0.192307692307692,2,2018-2019
103804,David Silk,RW,183,90,2,4,32,0.1875,63,1985-1986
103846,Bill Baker,D,183,86,4,14,70,0.257142857142857,64,1982-1983
103852,Steve Christoff,C,195,104,8,7,58,0.258620689655172,13,1983-1984
103860,Rob McClanahan,LW,185,93,6,8,41,0.341463414634146,21,1983-1984
104045,Anthony Mantha,RW,176,79,25,23,67,0.716417910447761,30,2018-2019
104226,Brett Lernout,D,183,82,0,1,18,0.0555555555555556,6,2017-2018
105272,Wally Schreiber,RW,185,98,2,5,25,0.28,10,1988-1989
105407,Jonas Siegenthaler,D,180,82,0,4,26,0.153846153846154,10,2018-2019
105821,Danton Heinen,C,183,86,11,23,77,0.441558441558442,16,2018-2019
105831,Dominik Simon,C,188,88,8,20,71,0.394366197183099,18,2018-2019
106154,Ross Johnston,LW,180,84,1,3,17,0.235294117647059,23,2018-2019
106161,Nicholas Baptiste,RW,182,84,4,2,33,0.181818181818182,14,2017-2018
106207,Gary Sampson,F,185,93,1,2,25,0.12,4,1986-1987
106295,Mike Reilly,D,191,94,3,8,57,0.192982456140351,16,2018-2019
106917,Tom Gorence,RW,184,90,1,1,12,0.166666666666667,0,1983-1984
107099,Nick Seeler,D,183,84,2,5,71,0.0985915492957746,64,2018-2019
107706,Warren Miller,RW,178,82,1,10,56,0.196428571428571,15,1982-1983
107975,Tom Thornbury,D,183,92,1,8,14,0.642857142857143,16,1983-1984
108080,Tom Younghans,RW,183,79,4,5,50,0.18,17,1981-1982
108088,Mike Milbury,D,185,92,6,16,68,0.323529411764706,96,1986-1987
108294,Jonny Brodzinski,RW,180,79,2,1,13,0.230769230769231,2,2018-2019
108347,Teodors Blugers,C,180,70,6,4,28,0.357142857142857,15,2018-2019
108648,Nikita Zadorov,D,185,84,7,7,70,0.2,75,2018-2019
108659,Ivan Barbashyov,C,183,86,14,12,80,0.325,17,2018-2019
108661,Valeri Nichushkin,RW,193,73,0,10,57,0.175438596491228,0,2018-2019
